Bien_jurídico_afectado,Tipo_Delito,Subtipo,Entidad,Mes,Cantidad,Mes_en,Año,Año-Mes
La vida y la Integridad,Homicidio,Homicidio doloso,Nacional,Enero,2049.0,January,2024,2024-01-01
La vida y la Integridad,Homicidio,Homicidio culposo,Nacional,Enero,1376.0,January,2024,2024-01-01
La vida y la Integridad,Lesiones,Lesiones dolosas,Nacional,Enero,12251.0,January,2024,2024-01-01
La vida y la Integridad,Lesiones,Lesiones culposas,Nacional,Enero,4647.0,January,2024,2024-01-01
La vida y la Integridad,Feminicidio,Feminicidio,Nacional,Enero,62.0,January,2024,2024-01-01
La vida y la Integridad,Aborto,Aborto,Nacional,Enero,83.0,January,2024,2024-01-01
La vida y la Integridad,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Nacional,Enero,1051.0,January,2024,2024-01-01
La libertad personal,Secuestro,Secuestro extorsivo,Nacional,Enero,25.0,January,2024,2024-01-01
La libertad personal,Secuestro,Secuestro con calidad de rehén,Nacional,Enero,5.0,January,2024,2024-01-01
La libertad personal,Secuestro,Secuestro para causar daño,Nacional,Enero,8.0,January,2024,2024-01-01
La libertad personal,Secuestro,Secuestro exprés,Nacional,Enero,2.0,January,2024,2024-01-01
La libertad personal,Secuestro,Otro tipo de secuestros,Nacional,Enero,0.0,January,2024,2024-01-01
La libertad personal,Tráfico de menores,Tráfico de menores,Nacional,Enero,0.0,January,2024,2024-01-01
La libertad personal,Rapto,Rapto,Nacional,Enero,12.0,January,2024,2024-01-01
La libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Nacional,Enero,2300.0,January,2024,2024-01-01
La libertad y la seguridad sexual,Abuso sexual,Abuso sexual,Nacional,Enero,2389.0,January,2024,2024-01-01
La libertad y la seguridad sexual,Acoso sexual,Acoso sexual,Nacional,Enero,857.0,January,2024,2024-01-01
La libertad y la seguridad sexual,Hostigamiento sexual,Hostigamiento sexual,Nacional,Enero,253.0,January,2024,2024-01-01
La libertad y la seguridad sexual,Violación simple,Violación simple,Nacional,Enero,1016.0,January,2024,2024-01-01
La libertad y la seguridad sexual,Violación equiparada,Violación equiparada,Nacional,Enero,440.0,January,2024,2024-01-01
La libertad y la seguridad sexual,Incesto,Incesto,Nacional,Enero,0.0,January,2024,2024-01-01
La libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Nacional,Enero,1091.0,January,2024,2024-01-01
El patrimonio,Robo total,Robo a casa habitación,Nacional,Enero,4285.0,January,2024,2024-01-01
El patrimonio,Robo total,Robo de vehículo automotor,Nacional,Enero,11883.0,January,2024,2024-01-01
El patrimonio,Robo total,Robo de autopartes,Nacional,Enero,2098.0,January,2024,2024-01-01
El patrimonio,Robo total,Robo a transportista,Nacional,Enero,728.0,January,2024,2024-01-01
El patrimonio,Robo total,Robo a transeúnte en vía pública,Nacional,Enero,4914.0,January,2024,2024-01-01
El patrimonio,Robo total,Robo a transeúnte en espacio abierto al público,Nacional,Enero,684.0,January,2024,2024-01-01
El patrimonio,Robo total,Robo en transporte público individual,Nacional,Enero,203.0,January,2024,2024-01-01
El patrimonio,Robo total,Robo en transporte público colectivo,Nacional,Enero,952.0,January,2024,2024-01-01
El patrimonio,Robo total,Robo en transporte individual,Nacional,Enero,1146.0,January,2024,2024-01-01
El patrimonio,Robo total,Robo a institución bancaria,Nacional,Enero,14.0,January,2024,2024-01-01
El patrimonio,Robo total,Robo a negocio,Nacional,Enero,6934.0,January,2024,2024-01-01
El patrimonio,Robo total,Robo de ganado,Nacional,Enero,252.0,January,2024,2024-01-01
El patrimonio,Robo total,Robo de maquinaria,Nacional,Enero,99.0,January,2024,2024-01-01
El patrimonio,Robo total,Otros robos,Nacional,Enero,14488.0,January,2024,2024-01-01
El patrimonio,Fraude,Fraude,Nacional,Enero,11111.0,January,2024,2024-01-01
El patrimonio,Abuso de confianza,Abuso de confianza,Nacional,Enero,2530.0,January,2024,2024-01-01
El patrimonio,Extorsión,Extorsión,Nacional,Enero,851.0,January,2024,2024-01-01
El patrimonio,Daño a la propiedad,Daño a la propiedad,Nacional,Enero,11605.0,January,2024,2024-01-01
El patrimonio,Despojo,Despojo,Nacional,Enero,2186.0,January,2024,2024-01-01
El patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,Nacional,Enero,1183.0,January,2024,2024-01-01
La familia,Violencia familiar,Violencia familiar,Nacional,Enero,20818.0,January,2024,2024-01-01
La familia,Violencia de género en todas sus modalidades distinta a la violencia familiar,Violencia de género en todas sus modalidades distinta a la violencia familiar,Nacional,Enero,523.0,January,2024,2024-01-01
La familia,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,Nacional,Enero,2224.0,January,2024,2024-01-01
La familia,Otros delitos contra la familia,Otros delitos contra la familia,Nacional,Enero,1014.0,January,2024,2024-01-01
La sociedad,Corrupción de menores,Corrupción de menores,Nacional,Enero,177.0,January,2024,2024-01-01
La sociedad,Trata de personas,Trata de personas,Nacional,Enero,42.0,January,2024,2024-01-01
La sociedad,Otros delitos contra la sociedad,Otros delitos contra la sociedad,Nacional,Enero,451.0,January,2024,2024-01-01
Otros,Narcomenudeo,Narcomenudeo,Nacional,Enero,7905.0,January,2024,2024-01-01
Otros,Amenazas,Amenazas,Nacional,Enero,10582.0,January,2024,2024-01-01
Otros,Allanamiento de morada,Allanamiento de morada,Nacional,Enero,1140.0,January,2024,2024-01-01
Otros,Evasión de presos,Evasión de presos,Nacional,Enero,4.0,January,2024,2024-01-01
Otros,Falsedad,Falsedad,Nacional,Enero,368.0,January,2024,2024-01-01
Otros,Falsificación,Falsificación,Nacional,Enero,1098.0,January,2024,2024-01-01
Otros,Contra el medio ambiente,Contra el medio ambiente,Nacional,Enero,173.0,January,2024,2024-01-01
Otros,Delitos cometidos por servidores públicos,Delitos cometidos por servidores públicos,Nacional,Enero,1531.0,January,2024,2024-01-01
Otros,Electorales,Electorales,Nacional,Enero,75.0,January,2024,2024-01-01
Otros,Otros delitos del Fuero Común,Otros delitos del Fuero Común,Nacional,Enero,17691.0,January,2024,2024-01-01
La vida y la Integridad,Homicidio,Homicidio doloso,Aguascalientes,Enero,6.0,January,2024,2024-01-01
La vida y la Integridad,Homicidio,Homicidio culposo,Aguascalientes,Enero,14.0,January,2024,2024-01-01
La vida y la Integridad,Lesiones,Lesiones dolosas,Aguascalientes,Enero,255.0,January,2024,2024-01-01
La vida y la Integridad,Lesiones,Lesiones culposas,Aguascalientes,Enero,115.0,January,2024,2024-01-01
La vida y la Integridad,Feminicidio,Feminicidio,Aguascalientes,Enero,1.0,January,2024,2024-01-01
La vida y la Integridad,Aborto,Aborto,Aguascalientes,Enero,0.0,January,2024,2024-01-01
La vida y la Integridad,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Aguascalientes,Enero,2.0,January,2024,2024-01-01
La libertad personal,Secuestro,Secuestro extorsivo,Aguascalientes,Enero,0.0,January,2024,2024-01-01
La libertad personal,Secuestro,Secuestro con calidad de rehén,Aguascalientes,Enero,0.0,January,2024,2024-01-01
La libertad personal,Secuestro,Secuestro para causar daño,Aguascalientes,Enero,1.0,January,2024,2024-01-01
La libertad personal,Secuestro,Secuestro exprés,Aguascalientes,Enero,0.0,January,2024,2024-01-01
La libertad personal,Secuestro,Otro tipo de secuestros,Aguascalientes,Enero,0.0,January,2024,2024-01-01
La libertad personal,Tráfico de menores,Tráfico de menores,Aguascalientes,Enero,0.0,January,2024,2024-01-01
La libertad personal,Rapto,Rapto,Aguascalientes,Enero,0.0,January,2024,2024-01-01
La libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Aguascalientes,Enero,32.0,January,2024,2024-01-01
La libertad y la seguridad sexual,Abuso sexual,Abuso sexual,Aguascalientes,Enero,0.0,January,2024,2024-01-01
La libertad y la seguridad sexual,Acoso sexual,Acoso sexual,Aguascalientes,Enero,0.0,January,2024,2024-01-01
La libertad y la seguridad sexual,Hostigamiento sexual,Hostigamiento sexual,Aguascalientes,Enero,10.0,January,2024,2024-01-01
La libertad y la seguridad sexual,Violación simple,Violación simple,Aguascalientes,Enero,16.0,January,2024,2024-01-01
La libertad y la seguridad sexual,Violación equiparada,Violación equiparada,Aguascalientes,Enero,7.0,January,2024,2024-01-01
La libertad y la seguridad sexual,Incesto,Incesto,Aguascalientes,Enero,0.0,January,2024,2024-01-01
La libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Aguascalientes,Enero,45.0,January,2024,2024-01-01
El patrimonio,Robo total,Robo a casa habitación,Aguascalientes,Enero,200.0,January,2024,2024-01-01
El patrimonio,Robo total,Robo de vehículo automotor,Aguascalientes,Enero,105.0,January,2024,2024-01-01
El patrimonio,Robo total,Robo de autopartes,Aguascalientes,Enero,108.0,January,2024,2024-01-01
El patrimonio,Robo total,Robo a transportista,Aguascalientes,Enero,0.0,January,2024,2024-01-01
El patrimonio,Robo total,Robo a transeúnte en vía pública,Aguascalientes,Enero,145.0,January,2024,2024-01-01
El patrimonio,Robo total,Robo a transeúnte en espacio abierto al público,Aguascalientes,Enero,2.0,January,2024,2024-01-01
El patrimonio,Robo total,Robo en transporte público individual,Aguascalientes,Enero,16.0,January,2024,2024-01-01
El patrimonio,Robo total,Robo en transporte público colectivo,Aguascalientes,Enero,1.0,January,2024,2024-01-01
